标题	面积	单价	总价
嘉德公寓 车位充足 满五 大两房 南北通透 双卫生间 近医院	129.12㎡	58086元/㎡	750万元
精装两居南海家园五里南北通透全配位置安静，诚意出售	89㎡	38989元/㎡	347万元
五年V一，直观南水北调水池，前后视野特别好，首F（低）	86.81㎡	43198元/㎡	375万元
建国门地铁站，海关家属院，阳光南向一居室。板楼。	49.27㎡	100467元/㎡	495万元
黄村 怡兴园 位置得天独厚 南北三居室 看房方便	104.87㎡	40050元/㎡	420万元
交易有保单 必看好房 店长力荐 龙湖时代天街（西区）	86.9㎡	35904元/㎡	312万元
长阳 三居室上跃 低容积 满五   装修好 商品房 南北通透	94.82㎡	24995元/㎡	237万元
世华泊郡 全明格局三居室 看找我对接业主有  价格	131㎡	72520元/㎡	950万元
清源东里,南北朝向三居室，看房方便	72.16㎡	25638元/㎡	185万元
立水桥 卢卡新天地   南向2居  业主诚心出售  近地铁。	76.68㎡	44993元/㎡	345万元
亦庄新房 精装现房 随时可看 人车分流小区 环境好	87㎡	41380元/㎡	360万元
采光好 单价总价  两居室 有钥匙 富力城D区 双井 国贸	93.54㎡	102417元/㎡	958万元
新上大客厅！单价3.9！三环边地铁口东南三居室 满五  	82.85㎡	39228元/㎡	325万元
四季怡园北区 新小区 环境好 商品房   	87㎡	36207元/㎡	315万元
新上急售！橡树湾一期，实用两居室，中间位置安静采光充足	71.19㎡	112235元/㎡	799万元
清秀园北区 两室一厅一卫 满五	65.19㎡	32981元/㎡	215万元
建设部大院7号楼 07年建 大客厅 二里沟 万科物业	65.97㎡	100955元/㎡	666万元
首付    东亚逸品阁 友谊医院附近 品质社区 南北通透户型	89.58㎡	41863元/㎡	375万元
杨家园 两室一厅一卫	61.3㎡	25775元/㎡	158万元
康润西区 大两房 楼龄新 精装修 拎包入住 自住急售 随时看	88㎡	37160元/㎡	327万元
副中心后   低密社区低楼层满五年 有钥匙诚意出售随时看	100.33㎡	49637元/㎡	498万元
白纸坊  建功北里，南北通透，正规一居，满五年公房	47.25㎡	84022元/㎡	397万元
玉桥东里电梯房三居  南北通透  满5年一套	87.36㎡	34570元/㎡	302万元
852沿线电梯房，全南户型,温馨两居室	89㎡	22472元/㎡	200万元
国贸中骏世界城北向一居室视野好 有钥匙随时看	76.6㎡	49348元/㎡	378万元
康宜家园南区小区,交通便利,环境优美,南北通透	69.91㎡	23602元/㎡	165万元
密云周边 有电梯 中间楼层采光好 近医院 南北通透   清晰	139.66㎡	23629元/㎡	330万元
华业东方玫瑰 全明户型大两居 近地铁，户型方正	95.7㎡	40544元/㎡	388万元
急售 华业东方玫瑰 2016次新社区 南向两居 近地铁精装	88.25㎡	43740元/㎡	386万元
融科香雪兰溪 高楼层视野无遮挡 小三房 密度低 商业配套齐全	88.79㎡	32662元/㎡	290万元
翠林漫步(北区) 刚需两居 正规商品房 精装好房 中间好楼层	86.92㎡	30488元/㎡	265万元
云岗，将来地铁（山语城站）次新房，一梯两户，电梯洋房	124.41㎡	37698元/㎡	469万元
吕营嘉园C区 2层三居室 双卫格局  配套成熟 满五家庭一套	133.96㎡	41058元/㎡	550万元
北京风景~三居两卫~电梯房~南北通透~价格可议	123.74㎡	36205元/㎡	448万元
必看好房 首座一期 2室，价可大议 次顶层 边户一梯两户，。	92.76㎡	37517元/㎡	348万元
北京怡园 两室一厅一卫 满五	71.09㎡	44733元/㎡	318万元
新上 长阳京西印玥3室观景窗，现房，没住过人，随时可看房	88.21㎡	39679元/㎡	350万元
龙冠冠华苑，2017年电梯房，两居室	86.71㎡	32177元/㎡	279万元
长阳  芭蕾雨一期  3室  1厅	88.42㎡	38453元/㎡	340万元
房山区良乡瑞雪春堂~南向二居室~ 业主诚心出售	88.8㎡	23649元/㎡	210万元
北城根 2室1厅1卫1阳台 户型方正 采光好 价格可议	59㎡	30509元/㎡	180万元
国贸高层西南2居全明格局正对小区院！安静不临街价可谈	93.98㎡	100022元/㎡	940万元
滨河西里北区,南北朝向两居室 明厅有窗户格局方正 出行便利	82.35㎡	28537元/㎡	235万元
西红门瑞海家园五区，老业主房子着急出售 价格低必卖房	120.21㎡	34939元/㎡	420万元
怡馨家园 满五   南北通透 接受换房 可组合贷 可谈	87.16㎡	34994元/㎡	305万元
超赞 首钢杨庄小区干部楼  正统三居 南北通透东边户全明格局	113.19㎡	45057元/㎡	510万元
价能 咨询有惊喜 正规观山看水两居室 好位置 看房便利	88.65㎡	20982元/㎡	186万元
2024.7.2 君汇雅居高层高端住宅，看房随时有钥匙	113㎡	115045元/㎡	1300万元
丽景长安二期  精装三居 高楼层视野好 诚意卖	137.09㎡	42308元/㎡	580万元
大兴南      龙湖时代天街（西区）136平大三居满五税少	135.63㎡	37234元/㎡	505万元
首创美澜湾E区 2室2厅 89.11平	89.11㎡	35911元/㎡	320万元
昌盛园1层三阳开泰三居室 无遮挡南北通透价格可谈	121.56㎡	34551元/㎡	420万元
东三环~13年楼盘~降200萬~全新装修3居室~明厨明卫	144.61㎡	87131元/㎡	1260万元
到访补助100路费 ， 班车带看房  南北观景 现房住宅	80.02㎡	17996元/㎡	144万元
563.W 芍药居 西坝河 圣馨家园  全明格局电梯 法拍房	95.88㎡	79788元/㎡	765万元
保利春天里  近地铁 小四居 使用面积大 采光好 价格能聊	95.55㎡	39770元/㎡	380万元
（必看好房）原香小镇 三居室 满五年 有钥匙 业主诚心卖，	92.67㎡	32158元/㎡	298万元
青春路6院 两室一厅一卫 满五	67.21㎡	27973元/㎡	188万元
城铁阎村站精装电梯两居室明厨明卫满五  随时看房	89.73㎡	19949元/㎡	179万元
小区中间位置 三居两卫 南北通透	124.02㎡	32173元/㎡	399万元
  临友谊医院 北关地铁 澜花语岸3室1厅 装修好 税少	108.94㎡	40849元/㎡	445万元
海淀 法式  洋房 两年前婚房 自住 换房 品质改善优选	106.88㎡	71108元/㎡	760万元
长阳翠林漫步电梯洋房集中供暖采光充足环境优美交通便利	86.68㎡	29649元/㎡	257万元
房山区长阳溪雅苑二区2室1厅	75.71㎡	21794元/㎡	165万元
彩虹家园 南北向三室两卫 诚心卖 看房方便	107.39㎡	43766元/㎡	470万元
金色0.5~ 八龙桥雅苑  南北通透 全明格局 3居 中层	97.73㎡	17395元/㎡	170万元
金色0.5~潘家园小区(怀柔) 南北通透 采光好 看房方便	72.87㎡	24565元/㎡	179万元
高楼层无遮挡~南北通透两居~电梯板楼~不临街不把边	88.59㎡	19190元/㎡	170万元
（好房推荐）长阳半岛4号院万科3居 明厨明卫 看房有钥匙	101.72㎡	39128元/㎡	398万元
副中心商务区 南小圆三居 户型方正 中间楼层 满五   清晰	131.78㎡	31644元/㎡	417万元
云立方小区，  三居室户型，    ，价钱可谈	100.75㎡	42680元/㎡	430万元
珠江绿洲家园 西南小三居 双卫 中间好楼层 临地铁	117㎡	45812元/㎡	536万元
（优选好房）急售低总价满五年南北三居室随时看房随时签约	172.28㎡	38194元/㎡	658万元
金域华府一期 南北通透两居室出售 精装修	99.45㎡	64153元/㎡	638万元
燕平家园 三室两厅两卫 满五	145.43㎡	31975元/㎡	465万元
昌盛园一区 两室两厅一卫 满五	88.75㎡	26479元/㎡	235万元
改善   四叶草户型 大四居室 格局方正 带车位带地下室	129.14㎡	89051元/㎡	1150万元
出门右即进京！70年现房，精装交付特价销售，带车位，价格美丽	86㎡	13721元/㎡	118万元
新安里小区 小户型 低总价     诚心售	68.73㎡	24444元/㎡	168万元
生活再难也要给自己安个家 手里有20就能买 两居婚房 急卖	64㎡	14844元/㎡	95万元
通州区通州北苑天时名苑2室1厅	106.62㎡	43613元/㎡	465万元
金色0.5~滨湖北街 南北通透 紧邻公园 交通便利 诚意出售	92.86㎡	19277元/㎡	179万元
旧宫  大城小镇 南北通透  2室  2厅	105.46㎡	39352元/㎡	415万元
绿丰家园 清水 2室 电梯房 房东急置换 诚心出售	120.8㎡	33030元/㎡	399万元
合生滨江帝景一期 3室1厅 高层看景	111.91㎡	47807元/㎡	535万元
总监推荐 双地铁 全明格局 3.15米挑高 下楼河边公园	94㎡	116915元/㎡	1099万元
新兴小区二层72.48平米两居室大客厅精装修	72.48㎡	19040元/㎡	138万元
橡树湾北区精装修四居不临街不把边看房有钥匙随时能签合同	140.64㎡	39818元/㎡	560万元
5万多的单价入住融华 高端板楼 新社区 南北通透	135.73㎡	50100元/㎡	680万元
北四环 亚运村 鸟巢奥森旁 金泉家园南向二居 高层	116㎡	86121元/㎡	999万元
高楼层无遮挡~南北双通透~电梯板楼~价格能谈	88.99㎡	19104元/㎡	170万元
长阳京西印玥，能大谈，新房没住过人，随时可看房	73.92㎡	34903元/㎡	258万元
交易有保单 莲香园精装高层3居 满五惟 一，有钥匙随时看	124.25㎡	54729元/㎡	680万元
远中悦莱 高层东向客厅带阳台 燃气 无遮挡   邻大河庄苑	66.5㎡	93234元/㎡	620万元
南北通透两居室，视野开阔，采光好，利用率比较高	100.44㎡	43609元/㎡	438万元
高楼层 南北两居室  商品房可  	88.68㎡	29207元/㎡	259万元
长阳原香小镇三居欢迎您价格可谈	83.67㎡	31792元/㎡	266万元
北京风景65号院 三室两厅一卫 满五	113.5㎡	41234元/㎡	468万元
必卖好房 墅区洋房 燕西华府大平层 精装 没住过 次新房	121.54㎡	36696元/㎡	446万元
亦庄橡树湾 精装修 三居室 看房随时 业主诚意出售	93㎡	43011元/㎡	400万元
圣景苑 近医院 出行方便 小三居 购物方便 近地铁	92㎡	17392元/㎡	160万元
加州四期 门口位置 方正两居室 仅   视野开阔 可观水系	87.75㎡	21653元/㎡	190万元
朝新嘉园二区 诚意出售 东坝公园西门口 随时看房	102.65㎡	38481元/㎡	395万元
天通苑东一区 电梯南北通透两居 17号线旁 商品房 离公园近	101.42㎡	31552元/㎡	320万元
通州北苑 万达 近首师大 新华大街 大两居 看房方便	130.14㎡	38805元/㎡	505万元
龙聚山庄~80平米~两居室~客厅主卧朝阳	80㎡	7500元/㎡	60万元
房山良乡韩建青春志富水良嘉园南北向三居业主诚售	88.38㎡	33379元/㎡	295万元
新上好房~金隅打造~朝西纵观西三旗~保持较好~价格可谈	100.48㎡	61704元/㎡	620万元
翰林庭院,2居室,2厅	109.2㎡	39378元/㎡	430万元
品质小区,交通便利,配套成熟,周边配套齐全	110.94㎡	37859元/㎡	420万元
月坛三里河 三层东南向两居	51.3㎡	120858元/㎡	620万元
西城德胜 航天设计规划院家属院 南北向两居 低楼层无遮挡	44.3㎡	146276元/㎡	648万元
金色0.5~ 梦想家园（西区） 南北通透 2居 采光好	88.49㎡	18647元/㎡	165万元
南北通透 两室两厅双阳台 一梯两户 江南山水	99.77㎡	49615元/㎡	495万元
换房出售 西山甲一号 三居室大客厅      可卖	118.31㎡	60858元/㎡	720万元
武夷   京贸国际城 大2居能当3居 有钥匙 观河 近地铁	108.58㎡	45957元/㎡	499万元
急急急，价格可大谈！区政府旁，政通路西里，三居室，南北通透	83.23㎡	18624元/㎡	155万元
国贸新城国际 精装一居 急售 随时看 视野好 随时签约	87.14㎡	99840元/㎡	870万元
临河里  华业东方玫瑰C区  1室  1厅	65.96㎡	50789元/㎡	335万元
怡馨家园 急售房源 总价低 可组合贷 给周期 随时看房 急售	119㎡	33194元/㎡	395万元
满五年   精装修 业主诚售 2003年商品房	68.27㎡	95064元/㎡	649万元
燕西华府书院   上跃  精装 一次没住 可观西山景色	95.12㎡	49307元/㎡	469万元
西潞园四里 中间楼层，南北通透，自己住，随时看房158可出售	63.82㎡	25384元/㎡	162万元
融科香雪兰溪  双卫大三居 中高楼层无遮挡  看房随时	128㎡	35079元/㎡	449万元
长阳翠林漫步，南北通透，明厨明卫，满五年，看房随时	86.9㎡	29805元/㎡	259万元
新上！融科钧廷115平米的三居室，在售  一套，诚心出售！！	115.17㎡	39073元/㎡	450万元
随时看！新装修高层通透 落地窗地暖 两梯两户 看朝阳公园	127.27㎡	78574元/㎡	1000万元
百旺府（物业租售）高层两居 满五年   业主自住 富华里	101.58㎡	65761元/㎡	668万元
建设部大院 南北通透 近地铁 医疗配套成熟 商业配套齐全	70.34㎡	112596元/㎡	792万元
二环内新小区，高楼层户型方正，东南两居室	96.44㎡	79843元/㎡	770万元
翰林庭院,2居室,2厅	115.21㎡	39060元/㎡	450万元
地铁17号线已开通，地铁边南北通透两居客厅三面采光阳台	91.61㎡	33730元/㎡	309万元
店长力荐 带双明卫 带充电桩车位   3层 急售还能谈	117.58㎡	41589元/㎡	489万元
福景苑 南北通透 临地铁 出行方便 次新房 带电梯 精装好房	120㎡	68334元/㎡	820万元
天通苑，北二区 南北电梯三居！视野好！双卧朝南户型！	136.57㎡	35147元/㎡	480万元
丰台区北京南站世纪金色嘉园2室1厅	95.51㎡	75176元/㎡	718万元
大学城广阳郡九号，南北通透三居两卫，中间楼层，拎包即住	138.77㎡	39634元/㎡	550万元
温泉  (B区) 商圈成熟   清晰 满五   南北通透	81.96㎡	25135元/㎡	206万元
北五环外北七家两居中楼层出售 南北通透 满五年  	89.21㎡	26455元/㎡	236万元
宁馨苑 三室两厅两卫	119.77㎡	37573元/㎡	450万元
通苑本四区高楼层 南北通透 6米大面宽客厅	136.04㎡	30139元/㎡	410万元
南北通透 无遮挡 采光充足 集中供暖 高楼层 看房方便 低	76.22㎡	18106元/㎡	138万元
磨房南里东南向一居室 小板楼中间层 诚意出售	44.01㎡	39764元/㎡	175万元
国惠村 两室一厅一卫	68.73㎡	32446元/㎡	223万元
长阳中心位置 带电梯 精装好房 正南朝向 商圈成熟 大两居	86.02㎡	24297元/㎡	209万元
四季怡园南区 南北通透两居室 诚意卖 看房随时	75.75㎡	34720元/㎡	263万元
郝庄家园西区 两室一厅一卫 满五	85.63㎡	18218元/㎡	156万元
碧桂园(三期) 正规2居  婚房 社区环境	93.07㎡	22027元/㎡	205万元
康颐园小区 企业力荐好房诚意出售	100.49㎡	40801元/㎡	410万元
东三环潘家园桥东，松榆西里小区 南向一层 一居室	42.56㎡	48873元/㎡	208万元
房山城关  中冶蓝城德润街12号院  2室  1厅	89.26㎡	17814元/㎡	159万元
北七家 北五环外172平米精装三居室 7层 带电梯 看房方便	172.87㎡	28808元/㎡	498万元
车公庄北里 电梯双南两居 带客厅 不临街 无遮挡 业主诚心出	66㎡	105910元/㎡	699万元
420行！嘉诚  南北通透大三居 户型方正3层 看房随时	126.18㎡	36932元/㎡	466万元
金乡路东 正规温馨三居室 装修自己喜欢的风格 别看装修看价位	77.08㎡	18163元/㎡	140万元
路劲世界城(二期) 2室1厅1卫1阳台 南北双通透 房龄新	83.82㎡	40444元/㎡	339万元
汤泉墅 顶层复式商品房 高楼层视野好 小区绿化高 精装修	92.73㎡	39362元/㎡	365万元
交易有保单 必看好房 店长力荐 保利首开熙悦春天南北通透四居	96.43㎡	39304元/㎡	379万元
税费低，物业租售部  彩虹新城 东南向两居 户型方正	82.66㎡	43310元/㎡	358万元
近医院 装修好 商业配套成熟 商品住宅 满五   板楼	169.43㎡	30101元/㎡	510万元
龙湖滟澜新宸(西区) 正规商品房 满五   刚需小三居	96㎡	41250元/㎡	396万元
南北通透来两居室 有电梯 采光好	89.49㎡	36206元/㎡	324万元
泽杰丽景 三室两厅两卫 满五	123.87㎡	37540元/㎡	465万元
西三旗  红砖洋房社区  法式建筑3居2卫  大落地窗阳台	127.08㎡	43280元/㎡	550万元
地铁,周边配套设施齐全,性价比超高144.24平万科城市花园	144.24㎡	34596元/㎡	499万元
双路小区 中间楼层 两居室 落地窗 采光充足 现浇板楼	87.41㎡	15102元/㎡	132万元
（开发商直签）京西五环，新房现房，近地铁，精装修交，  洋房	86㎡	40698元/㎡	350万元
长阳五矿铭品 豪装三居室 电梯入户 中间楼层	138.18㎡	42698元/㎡	590万元
珠江峰景 双卫生间 满五   医疗配套成熟 精装可拎包入住	118.99㎡	52946元/㎡	630万元
房山  地铁站 精装修 两居室 随时看房 有钥匙  诚心售	89.06㎡	41433元/㎡	369万元
万寿路  复兴路61号院  2室  1厅	64.8㎡	112655元/㎡	730万元
西城二环次新楼盘，观园区安静不临街，精装小两居	62.83㎡	114595元/㎡	720万元
望京西地铁旁  19年次新房社区  高层平层观景南  两居	101.88㎡	77543元/㎡	790万元
玉桥东里 通州妇幼边上电梯南北三居	87.4㎡	35355元/㎡	309万元
北苑上元，观奥森，落地阳台 ，万科物业，东南西两居，近水系。	129.96㎡	58403元/㎡	759万元
次新社区 一梯两户 高楼层 满五年 无   热水入户 近地铁	92㎡	141196元/㎡	1299万元
长阳九洲溪雅苑二区，南北通透三居，中高层，拎包入住，看房随时	181.05㎡	23364元/㎡	423万元
好房推荐 国樾天晟 中间好楼层 南北通透 宽敞明亮 视野宽阔	154.61㎡	30788元/㎡	476万元
长阳 梧仗爱 大两居南向采光好单价低	118.62㎡	17367元/㎡	206万元
新上！西四环 定慧寺  定慧寺东里 板楼南北通透2居 大客厅	59.12㎡	77470元/㎡	458万元
营房小区 高楼层视野好 交通便利 大两居   清晰 南北通透	86.39㎡	13081元/㎡	113万元
必看好房 长阳地铁站 康泽佳苑精装 高楼层采光无遮挡随时看	80.27㎡	30273元/㎡	243万元
房主诚售~边户敞亮~法式洋房~位置好~近园林~看房方便	132.54㎡	63981元/㎡	848万元
京科苑 3居室2卫低楼层 满五   板楼 商业配套成熟	117.13㎡	33211元/㎡	389万元
密东广场 装修好 满五 商品住宅 双卫格局 交通便捷	146.3㎡	24607元/㎡	360万元
新上南北通透两居室随时可以看房	90.87㎡	22010元/㎡	200万元
密云城区 医疗配套成熟 看房有钥匙 商圈成熟 南北通透	85.08㎡	16456元/㎡	140万元
近地铁，南北通透精装修两居室	92.85㎡	21325元/㎡	198万元
新安里2室1厅 低楼层 普装	75.3㎡	27623元/㎡	208万元
新城二期 东南北二居 明厨明卫 观景阳台 看中国尊 满五  	136.97㎡	98562元/㎡	1350万元
金色0.5~于家园二区 精装 南北通透 价格可议	66.81㎡	26045元/㎡	174万元
绿港家园三区 满五年 独立3居 精装 可贷300 诚心出售	91.47㎡	38592元/㎡	353万元
顶层复式 使用面积大 商品房 价格可谈 看房方便	95.14㎡	79357元/㎡	755万元
有钥匙！新城国际三期，通透小四居，带储藏间，价钱可谈，国贸	188.55㎡	108725元/㎡	2050万元
京贸国际公寓后排不临街景观房急售有钥匙	131.97㎡	32963元/㎡	435万元
长阳 康泽佳苑 住宅电梯房 集中供暖 南北通透 满五	52.48㎡	28583元/㎡	150万元
西城玺源台 样板间级装标 16号线丽泽 南北通透两居室	89.93㎡	122207元/㎡	1099万元
通州两居现房！ 上车通州！通勤国贸黄厂速来看！宋家电礼包	80.11㎡	17601元/㎡	141万元
国际  2号院~3室1厅~88.81平米	88.81㎡	31416元/㎡	279万元
西环里小区 两室一厅一卫 满五	67.61㎡	26624元/㎡	180万元
碧桂园(三期)电梯小区~单价较低~中间楼层~格局通透	92.48㎡	18383元/㎡	170万元
苹果园  模式口西里  2室  1厅	63.1㎡	30587元/㎡	193万元
团结湖六里屯西里南北通透2室1厅	54.53㎡	51348元/㎡	280万元
10号线 角门东 怡然家园5号院 东边户南北通透三居室中间层	126.45㎡	51009元/㎡	645万元
金汉3区~顺义地铁3室2卫~全明格局~给价就卖~急售	130.17㎡	31498元/㎡	410万元
三合南里西区,3居室,1厅	80.29㎡	30266元/㎡	243万元
部队干休所 商品房 北大地三里16号院 南北四居室满五年一套	100.15㎡	53920元/㎡	540万元
时代庐峰八角地铁旁 长安街边 南北通透两居室 全明格局	108.25㎡	59031元/㎡	639万元
融科香雪兰溪 电梯房 居住密度低 购物方便 中间楼层采光好	88.67㎡	36089元/㎡	320万元
新增！马连洼中间层三居室，总价低，户型实用，近地铁	103.15㎡	66796元/㎡	689万元
新上好房永泰东里 带储物间南北通透精装修	79.53㎡	71672元/㎡	570万元
中粮京西祥云 新风系统  中YANG空调 智能家居 科技住宅	125.94㎡	42878元/㎡	540万元
急售  世界名园D区  电梯洋房，两居室，有钥匙看房方便	97.08㎡	12876元/㎡	125万元
急售 电梯精装二居 双明卫 带前后阳台 随时看 价可谈仅  	103.11㎡	15033元/㎡	155万元
新出中高层景观视野好房 正观CBD社区园林	190.94㎡	107364元/㎡	2050万元
聚焦好房！双明卫，中间位置，高层房，可做4居室	128.5㎡	91051元/㎡	1170万元
凯德锦绣 交通便利 商品住宅 满五    楼层好	89.54㎡	93367元/㎡	836万元
亦庄新城融科两居 中间楼层 全南向 满五年一套 诚心出售	84.03㎡	32132元/㎡	270万元
万年花城玫瑰碗(万年花城三期)，房主狂甩高品质好房！	79.89㎡	51321元/㎡	410万元
富强东里,2居室,1厅	60㎡	21667元/㎡	130万元
急急急 大谈 大谈 大谈 长阳 溪雅苑 南向一居 随时签	74.92㎡	21624元/㎡	162万元
昊天温泉低楼层大两房 双阳台 采光好 看上房价格好谈	76.78㎡	18104元/㎡	139万元
卢沟桥银海星月南北通透两居，高楼层视野开阔，地铁1416	101.4㎡	35010元/㎡	355万元
（保真）房价可议 新出南向精装一居 交通便利 业主诚心出售	68.66㎡	27673元/㎡	190万元
长阳碧桂园装修好满五年一套看房方便诚心出售	123.77㎡	22219元/㎡	275万元
远洋万和城 双通透 高层 南北二居 有钥匙 全屋地暖	91.22㎡	115107元/㎡	1050万元
捌中 金汉三区中楼层 无遮挡三居室 全明格局 业主急出价好谈	90.86㎡	34669元/㎡	315万元
西城区红山世家 华润置地 南北两居	93.12㎡	125215元/㎡	1166万元
新兴小区（西区） 客厅朝南 高楼层 看房方便 价格能谈 带	131.78㎡	25422元/㎡	335万元
交易有保单 必看好房 店长力荐 福苑小区中区	71.61㎡	23740元/㎡	170万元
交易有保单 必看好房 店长力荐 三合南里	84.47㎡	30307元/㎡	256万元
亚运村 汇园公寓，周边配套去全新辰里，鸟巢水立方安立路地铁站	107.92㎡	66624元/㎡	719万元
安全性高,交通便利,配套成熟,出行便利,周边配套齐全	53㎡	24529元/㎡	130万元
郝庄家园北区 满五年 2室1厅1卫1阳台 采光充足 中间楼	90.68㎡	22938元/㎡	208万元
大峪 金泰丽湾 高楼层 落地窗 三室两卫 南北通透 随时看房	121.03㎡	38834元/㎡	470万元
大区聚焦房，东区商品房，大客厅，落地飘窗，有钥匙	94.59㎡	112063元/㎡	1060万元
老客户房样本中间楼层竖厅三面朝阳三居满五为一交易仅有  	134㎡	36493元/㎡	489万元
长阳半岛2号院 交通便利 小三房 中间楼层 双卫 南北通透	93.3㎡	38371元/㎡	358万元
永善里 3室1厅 119.95平 满五年一套 商品房	119.95㎡	58275元/㎡	699万元
低总价，南北两居，业主诚心出售	90.96㎡	29244元/㎡	266万元
房山城关购物方便 满五 交通便捷  视野好	69.16㎡	12725元/㎡	88万元
三合庄园4号院,2居室,1厅	63.01㎡	26980元/㎡	170万元
龙庆望都佳园~南北通透~中间楼层~环保装修~看房方便价格可聊	82.94㎡	10731元/㎡	89万元
远洋沁山水 2室2厅1卫 经典实用 格局方正	85.6㎡	92991元/㎡	796万元
大学城地铁必看 高楼层 大三居户型方正415W带二个私人车位	122㎡	34017元/㎡	415万元
原香小镇二区（实用面积大）满五   装修好  清晰	90.46㎡	42892元/㎡	388万元
南北通透 精装修海关西园3居 医疗配套成熟 集中供暖	95㎡	17053元/㎡	162万元
新安里,2居室,1厅	69.07㎡	27509元/㎡	190万元
（中间楼层）（新房毛坯没住过）（电梯洋房）（环境优美）	138.53㎡	40425元/㎡	560万元
苏州桥 苏州街20号楼龄新，两居带厅，不临街，西南向	95.99㎡	85426元/㎡	820万元
原香漫谷 户型方正  诚意出售	91.05㎡	18342元/㎡	167万元
珠江边户南北通透两居室 拎包入住!	94.91㎡	24761元/㎡	235万元
四惠 壹线国际 大落地窗 满五  商品房 户型方正	138.68㎡	48025元/㎡	666万元
育新花园北里 满五   商品住宅 电梯房 南北通透 楼层好	73㎡	15754元/㎡	115万元
良乡时尚家园2室，大阳台采光非常好，有电梯	133.46㎡	16485元/㎡	220万元
紧邻城铁 原香漫谷四区2室1厅，次新小区，电梯房，南向两居	87.49㎡	16231元/㎡	142万元
太平庄蝶翠苑，2居室。	88.64㎡	19066元/㎡	169万元
新上！！！环保精装修南北通透两居室，地暖大阳台舒适户型	94.27㎡	20049元/㎡	189万元
房山良乡南关罗府家园两居	86.63㎡	22625元/㎡	196万元
金台园小区 三室两厅两卫	118.76㎡	23156元/㎡	275万元
精装修方正电梯两居室	95.2㎡	94433元/㎡	899万元
新上，宏仁家园，中间楼层，南北通透两居室，看房有钥匙	89.68㎡	23417元/㎡	210万元
北京东燕郊核心位置 现房 民水民电 近地铁高铁 周边配套完善	49㎡	8776元/㎡	43万元
万科直营，精装自住三居小复式，光线好，装修好，诚意售	124.59㎡	35718元/㎡	445万元
川北小区 2居室 南北通透 低楼层 双阳卧室 周边配套完善	60.73㎡	19431元/㎡	118万元
长阳翠林漫步 带车位 一层   满五年一套 南北通透全明户型	123.66㎡	37199元/㎡	460万元
新上万科金域缇香 南北向大三居 东边户 高楼层	108.69㎡	37262元/㎡	405万元
湖光小区 3室1厅1卫1阳台 南北通透 采光好 高楼层 价	86.24㎡	22960元/㎡	198万元
燕平家园 两室一厅一卫	76.14㎡	32178元/㎡	245万元
      必看好房  三层  眼镜户型  大三居 南北通透	132㎡	17804元/㎡	235万元
中海金玺公馆  今日好房源 紧邻地铁 满五年	98.52㎡	74097元/㎡	730万元
逸成东苑，全新精装二居，定制家具，大面宽，弧形落地窗，满五年	114.36㎡	83946元/㎡	960万元
亢山佳园 三室两厅一卫 满五	110.21㎡	34389元/㎡	379万元
崔村一里3层，精装两居室，南北通透，看房方便市集中供暖	52.5㎡	25715元/㎡	135万元
景观视野尽览美景！能看见梦中的那片海！在繁华的国贸夜景属于你	45.43㎡	59433元/㎡	270万元
花园巷小区 南北通透 ，三居 ，270度采光  急售	86.53㎡	18376元/㎡	159万元
必看好房 业主诚心出售 城区中心交通购物便利 可谈	106.64㎡	16692元/㎡	178万元
急急急必卖天通西苑二区 有电梯 南北通透四居室 双卫生间	174.94㎡	26238元/㎡	459万元
福苑小区小区,交通便利,配套成熟,南北通透	65.51㎡	24424元/㎡	160万元
绿地国际花都(北区) 电梯10层 好户型 采光好看房方便	132.02㎡	21967元/㎡	290万元
澜西园四区，南北通透，电梯房，落地窗，业主随时配合签	88.71㎡	26491元/㎡	235万元
东二区近地铁电梯两居，高楼层视野开阔，全新装修没住过	101.42㎡	38257元/㎡	388万元
角门  角门东里  2室  1厅	57.2㎡	40210元/㎡	230万元
装修好，2层，价格可谈，可看房。  	62.43㎡	136153元/㎡	850万元
车站北里小区,2居室,1厅	77.18㎡	30838元/㎡	238万元
随时看房 诚意出售 价格可谈	66.36㎡	25618元/㎡	170万元
长阳地铁站 81平商品房 两居双卫  满五    低密度洋房	81.35㎡	25815元/㎡	210万元
阳光乐府 装修好 出行方便 近地铁 近医院 高楼层采光充足	90.85㎡	32802元/㎡	298万元
横厅三居，带平台，明厨明卫，中间楼层，随时看房	127.35㎡	37692元/㎡	480万元
保利  A区  2居室  精装	81.77㎡	19568元/㎡	160万元
长阳  五矿铭品长虹东路6号院  3室  2厅	134.02㎡	43875元/㎡	588万元
买二手房0.1地铁8号线 珠江骏景南区 一居室	56.24㎡	48009元/㎡	270万元
昌平县城 建明里 南北2居室 交通便利 配套完善	58.04㎡	27568元/㎡	160万元
国贸 双井北里 满五年 稳定签约	46.82㎡	53183元/㎡	249万元
（大学城北地铁站）五矿铭品 （高端社区环境优美）近公园近天街	138㎡	41667元/㎡	575万元
亦庄南 大兴周边刚需两居 带电梯 南北通透 中间楼层 小区新	89.96㎡	14451元/㎡	130万元
灯市口 骑河楼大街 低总价大面积3室1厅 已购公房央产	80.93㎡	88966元/㎡	720万元
已装电梯  上营北区  南北通透 高楼层视野好 购物方便	111.26㎡	24717元/㎡	275万元
